id|url|name|price|currency|rate|description|instruction|made
19000118723|https://goldapple.ru/19000118723-arborea|CHIARA FIRENZE ARBOREA|1484|RUB|0.0|"Chiara Firenze посвящает свои ароматы в особый регион: Тоскана. история совершенства, страсти и связи с территорией, а также диалога между знаниями и далекими культурами. парфюмерное искусство и выбор ценных эфирных масел, таким образом, встречает мастеров флорентийских ремесленных мастерских, чтобы возродить магию этой особой земли в ваших комнатах.*Аромат получил свое название  в честь силы кедрового дерева, которое всегда было символом долголетия и величия. В сочетании с морскими нотами, ""вода"" и ""земля"" объединяются, давая жизнь свежему живому  аромату ,благодаря нотам березы и смолы."||страна происхождения: Италия;
19000048060|https://goldapple.ru/19000048060-sense-joyful|CHRISTINE LAVOISIER PARFUMS Sense Joyful|458|RUB|4.6|Невероятно соблазнительный и роскошный аромат для уверенных в себе и эффектных девушек.*Sense Joyful раскрывается яркими и игривыми нотками цитрусовых и соленого миндаля. Нежные лепестки розы окутывают сердце композиции мягкостью, женственностью и придают ей особое очарование. Ароматная ваниль и аппетитная ириска создают  притягательный десертный шлейф, наполняющий радостью.  *С ароматом Sense Joyful жизнь, действительна, прекрасна! Бренд товара CHRISTINE LAVOISIER PARFUMS.|нанести на шею, запястье.|страна происхождения: Россия;
19000009359|https://goldapple.ru/19000009359-coeur-de-petales|L'ATELIER PARFUM COEUR DE PÉTALES|1524|RUB|4.3|Игривый, чувственный аромат COEUR DE PÉTALES от L’ATELIER PARFUM – это пышный и красочный букет, в котором собрали пион, жасмин и ландыш. Изящная и воздушная композиция играет с контрастами: нежные цветы гармонично сочетаются с острым сычуаньским перцем, сочная и яркая нота личи усиливает звучание изысканной розы. Многогранный и при этом лёгкий аромат отражает радость жизни и биение сердца, ритм которого ускоряется или замедляется в зависимости от эмоций. Парфюмер – Dorothee Piot.**Верхние ноты – бергамот, мандарин, персик, сычуаньский перец, фиалка  **Ноты сердца – роза, ландыш, жасмин  **Базовые ноты – малина, миндаль  **||страна происхождения: Франция; изготовитель:«L’Atelier Parfum Paris SAS», адрес: 142 rue du Président Willson, 92300 Levallois-Perret, Франция.;
83730600001|https://goldapple.ru/83730600001-al-andalus|MORESQUE Al Andalus|30030|RUB|0.0|Андалусия: юг Испании, Средиземное море, следы арабско-исламской цивилизации. Трио шафрана, чёрного перца и имбиря дополняет джакартский уд – всё вместе складывается в глубокую многогранную композицию с сильными и чувственными аккордами гаитянского ветивера и французского лабданума||
19760300419|https://goldapple.ru/19760300419-901-muscade-amande-patchouli|BON PARFUMEUR PARIS! 901 – muscade, amande, patchouli|4700|RUB|5.0|Мускатный орех, миндаль, пачули – три характерные ноты аромата 901 от Bon Parfumeur. Свежие верхние ноты сопровождают легкую горечь грейпфрута. Сочетание согревающих пряностей с чувственным древесным аккордом делает сердце композиции теплым и нежным, словно чарующая ваниль. Соблазнительные базовые ноты, в которых ощущаются специи и кожа, пробуждают любопытство и заставляют поверить в любовь с первого взгляда.**Верхние ноты: мандарин, грейпфрут, имбирь. *Ноты сердца: черный перец, красный перец, мускатный орех, миндаль, древесные ноты. *Базовые ноты: пачули, мускус, бобы тонка, ваниль. *||"страна происхождения: Франция; изготовитель:""Le Parfumeur SAS"", 58 rue Tiquetonne, 75002 Paris, Франция.;"
26142800001|https://goldapple.ru/26142800001-cocaine|FRANCK BOCLET COCAINE|19600|RUB|4.8|"Cocaine Franck Boclet — как в тексте популярной поп-рок композиции Эрика Клэптона: ""Если ты хочешь оторваться, ты должен взять его с собой"". Название аромата, по замыслу парфюмера, символизирует, что он полностью захватывает вас. Верхние ноты: розовые ягоды, горький апельсин, табак, карамель. Ноты сердца: орхидея, лилия, тубероза. Базовые ноты: пачули, ваниль, тиаре. Одновременно яркий и цветочно-восточный характер аромата.*Осторожно, вызывает привыкание!"||страна происхождения: Франция;
19000113126|https://goldapple.ru/19000113126-aqua-allegoria-forte-mandarine-basilic|GUERLAIN Aqua Allegoria Forte Mandarine Basilic|12880|RUB|4.5|Mandarine Basilic Forte - аромат в котором яркий итальянский мандарин сияет под золотистым светом заходящего солнца.  Он сочетается с теплотой ванили и чарующей силой сандалового дерева.**Aqua Allegoria Forte – это тёплое и обволакивающее путешествие по самым красивым садам мира. Парфюмерные воды, вдохновлённые чудесами природы.**Настоящая ода чудесам природы, ароматы Aqua Allegoria являются отражением бережного отношения Guerlain к природным ресурсам. Они содержат до 95% натуральных ингредиентов*, изготовляются на основе органического свекольного спирта и помещены во флакон, состоящий на 15% из переработанного стекла, созданного полностью во Франции.***От 90 до 95% ингредиентов натурального происхождения, в соответствии со стандартом ISO 16128, учитывая качество воды.||страна происхождения: Франция; изготовитель:«Guerlain», Франция, 68 Avenue Des Champs Elysees, 75008 Paris (улица Шампс Элиззе, дом 68, 75008 Париж - Франция);
19000148356|https://goldapple.ru/19000148356-mon-vetiver-refillable|ESSENTIAL PARFUMS PARIS Mon vetiver refillable|7372|RUB|4.0|Парфюмер – Bruno Jovanovic. «Я представил себе парфюмерную композицию на основе нот ветивера и джина, отражающую современную элегантность. Это аромат с характером, выраженном в древесных нотах».  **Mon Vetiver – это воплощение современной элегантности. Композиция, способная удивлять, создана на основе гаитянского ветивера. Неожиданная нота джина подчёркивает приятную свежесть мексиканского лайма и можжевельника. Лаванда и горечавка пробуждают интерес, который усиливают загадочные пачули из Индонезии и ноты кашмерана. **Создатели парфюмерной воды ESSENTIAL PARFUMS выбирают натуральные, экологически чистые материалы и стремятся снизить воздействие на окружающую среду. Компания гарантирует бережное отношение к местным экосистемам и улучшает жизнь фермерских общин Гаити, культивирующих ветивер.**Флакон парфюмерной воды подходит для многоразового использования, и его можно пополнять из рефила. *|Только для наружного применения.|"страна происхождения: Франция; изготовитель:""ESSENTIAL PARFUMS SAS"", адрес: 107 rue Didot, Villa Jamot 11, 75014 Paris, Франция;"
19760327536|https://goldapple.ru/19760327536-atelier-vanille-rouge|VERSACE ATELIER  ATELIER VANILLE ROUGE|24585|RUB|5.0|В основе глубокого и насыщенного аромата VANILLE ROUGE – пленительная мадагаскарская ваниль с нежным оттенком пралине. Её волнующая сладость, окруженная пудровыми мускусными нотами, манит, пробуждает приятные воспоминания и возвращает в беззаботное и наполненное радостью детство. Неожиданный цветочный аккорд турецкой розы с растительной пряной нотой делает аромат ATELIER VERSACE привлекательным и соблазнительным. Парфюмер – Хорди Фернандез. **Ключевые ноты: мадагаскарская ваниль, масло турецкой розы  *  **||страна происхождения: Италия; изготовитель:«EUROITALIA S.R.L», адрес: Via Galileo Galilei 5, 20873 Cavenago di Brianza (MB), Италия;
19000011935|https://goldapple.ru/19000011935-massage-candle-vanilla|LA RIC Aroma Massage Candle Vanilla|23610|RUB|0.0|Медовая текстура, богатейший состав.*Драгоценный воск подарит коже глубокое питание, восхитительный аромат и бесконечную молодость. Ощутите истинное наслаждение и блаженство от прикосновения к Вашей коже после применения воска!*|зажгите арома свечу. Нежный аромат ванили подарит Вашим клиентам атмосферу гармонии, благополучия и романтики.*Когда воск растает, нанесите небольшое количество на кожу рук массирующими движениями. *При необходимости для нанесения продукта используйте ракушку.|страна происхождения: Австрия;
81103200002|https://goldapple.ru/81103200002-queen-of-seduction|ANTONIO BANDERAS Queen of Seduction|2400|RUB|4.9|Туалетная вода Antonio Banderas Queen of Seduction совершенно точно не оставит вас равнодушным. Летний аромат парфюмерной композиции Queen of Seduction раскрывается свежестью морского бриза, которая великолепно гармонирует со сладостью спелой малины. В сердце композиции от Antonio Banderas переливаются нежные цветочные нотки, а в шлейфе стойкой туалетной воды остаются изысканность белого кедра и благородные замшевые оттенки.||"страна происхождения: Испания; изготовитель: ""Antonio Puig S.A"", Адрес: Plaza Europa 46, 08902 Barcelona, Spain, Испания.;"
19000193727|https://goldapple.ru/19000193727-sur-la-lande-eau-de-parfum|YVES ROCHER Sur La Lande Eau de Parfum|4582|RUB|5.0|«Аромат-открытка, запечатлевший саму суть этой удивительной природы, бескрайней и дикой, что рисует живописный бретонский пейзаж. Вдохновляющие, неповторимые просторы на фоне водной глади…»*Каролин Дюмюр, парфюмер.**Этот аромат предлагает заново раскрыть в себе дар первооткрывателя.*Земля с особым характером. Бесконечный горизонт.**Смотреть вдаль, любуясь природой, необъятной в своем величии. Здесь, во французской Бретани, земля и океан сливаются воедино, а свежесть водных брызг смешивается с ароматами цветов. Подняться навстречу ветру, волнам, всем невзгодам и победам, подобно гордой скале. Настало время выйти за границы возможного, изобрести мир заново.**93% ингредиентов натурального происхождения.*100% спирт растительного происхождения.|Наносите на точки пульса, либо распылите перед собой и войдите в облако аромата.|"страна происхождения: Франция; изготовитель:АО ""Лаборатуар де Биоложи Вежеталь Ив Роше"", Ла Круа дез Аршер, 56200 Ля Гасийи (Морбиан), Франция.;"
19000257136|https://goldapple.ru/19000257136-her|LOUIS Her|11000|RUB|0.0|HER: «Главный герой одного фильма даже спустя 2 года помнит аромат любимой женщины. Наблюдая за этой сценой, мне стало невероятно интересно, что же это за духи. *Смог бы он запомнить аромат, если бы он был обычным? Эта композиция — “её” образ, который каждый хранит глубоко в сердце». *Нота ландыша среди фиалок, роз и жасмина сохраняет невинный характер аромата, чтобы сделать ваш образ ещё более запоминающимся.|Только для наружного применения.|страна происхождения: Республика Корея;
80213700001|https://goldapple.ru/80213700001-classic-blue|DAVID BECKHAM Classic Blue|2790|RUB|4.8|Мужской древесный фужерный аромат David Beckham Classic Blue был выпущен британским брендом David Beckham в декабре 2014 года. За парфюмерную формулу отвечал Жан-Кристоф Эро. Упаковку разработали дизайнер Lutz Hermann и компания Lutz Hermann Design. Представил аромат в рекламной кампании футболист Дэвид Бекхэм.*Начало композиции аромата David Beckham Classic Blue представлено нотами грейпфрута, ананаса и листьев фиалки. Сердце раскрывается сочетанием нот герани, зеленого яблока и мускатного шалфея, в то время как базу составляют ноты пачули, дубового мха и кашемира.||страна происхождения: Испания;
